,Unnamed: 0,Country,Yellows,Reds,Safety,Virtual Safety,Rain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
74,15,0.8214285714285714,8,0.0,0.0,0.0,0.0,0.0,0.0,0.15,-0.05,0.3,-0.1,0.0,0.55,-0.05,0.1,0.25,0.25,0.35,-0.25,-0.1,-0.55,-0.1,-0.4,-0.25,-0.1
75,16,0.6071428571428571,2,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.05,0.15,-0.1,-0.05,0.05,0.4,0.05,0.05,0.1,0.3,-0.05,0.0,0.0,0.05,-0.4,-0.6
76,17,0.6428571428571429,2,0.0,0.25,0.0,0.0,0.1,0.0,0.05,0.05,0.15,0.0,0.1,0.1,0.15,0.4,0.0,-0.25,0.3,0.3,-0.7,0.0,-0.2,-0.15,-0.25,-0.15
77,18,0.6785714285714286,0,0.0,0.25,0.5,0.0,0.45,0.0,-0.1,0.0,0.05,-0.15,0.0,0.0,0.15,-0.25,-0.1,-0.6,0.2,-0.05,0.0,0.0,0.1,0.0,-0.4,-0.3
78,19,0.8928571428571429,12,0.0,0.0,0.25,1.0,0.0,0.0,-0.85,-0.35,0.1,-0.15,0.0,-0.25,0.2,0.0,0.35,0.3,0.25,0.1,-0.1,0.1,-0.1,0.15,0.15,0.1
79,20,0.9285714285714286,5,0.5,0.25,1.0,0.0,0.0,0.05,-0.05,0.25,0.3,0.0,-0.15,0.35,0.05,-0.15,0.35,0.2,0.0,-0.3,-0.15,0.05,-0.6,0.1,-0.25,-0.05
80,21,0.75,2,0.0,0.25,0.25,0.0,0.0,0.0,0.1,0.2,0.35,0.0,-0.2,0.15,0.0,-0.15,0.2,-0.1,0.0,0.25,-0.55,0.0,-0.15,-0.05,-0.05,0.0
81,0,0.03571428571428571,2,0.0,0.25,0.25,0.0,0.0,0.05,0.1,0.25,0.1,0.0,0.2,0.4,-0.05,0.25,0.05,0.35,0.05,0.2,-0.1,0.2,0.0,-0.7,-0.85,-0.5
82,1,0.9285714285714286,7,0.0,0.25,0.5,0.0,0.15,0.0,0.0,-0.15,0.05,-0.05,0.2,0.05,0.05,0.25,0.05,0.25,0.0,0.1,-0.35,-0.45,-0.15,0.0,0.0,0.0
83,2,0.0,5,0.0,0.5,0.5,0.0,0.0,0.05,0.15,0.05,-0.05,0.05,0.05,0.2,0.1,0.5,0.15,0.35,0.1,0.1,-0.1,0.1,-0.35,-0.8,-0.1,-0.55
84,3,0.4642857142857143,3,0.0,0.25,0.0,0.0,0.0,0.05,0.1,0.35,0.1,-0.2,0.25,0.25,-0.05,0.25,0.35,0.25,0.05,0.1,-0.75,0.15,-0.35,-0.6,-0.5,-0.8
85,4,0.6071428571428571,5,0.0,0.25,0.25,1.0,0.1,-0.05,-0.05,0.0,0.35,0.0,-0.1,0.6,0.45,-0.5,0.0,-0.15,0.05,0.25,0.0,0.0,-0.85,-0.55,-0.55,-0.15
86,5,0.14285714285714285,4,0.0,0.0,0.0,0.0,0.05,0.15,0.05,-0.05,0.05,0.05,0.25,0.15,0.55,0.15,0.25,-0.15,0.05,-0.2,0.1,0.15,-0.45,0.0,-0.2,-0.95
87,6,0.17857142857142858,12,0.5,0.5,0.25,1.0,0.1,0.0,0.05,-0.15,0.05,-0.05,0.0,0.0,0.15,-0.05,0.3,-0.1,0.05,0.2,0.2,0.2,-0.3,-0.1,-0.2,-0.35
88,7,0.10714285714285714,10,0.0,0.0,0.5,0.0,0.1,0.0,0.1,0.15,0.05,0.15,0.15,0.2,0.1,0.15,0.2,0.25,-0.25,0.3,0.15,0.15,-0.05,-0.2,-0.9,-0.8
89,8,0.21428571428571427,4,0.0,0.25,0.5,0.0,0.0,0.05,0.05,0.2,0.7,0.05,0.2,0.1,-0.35,0.35,-0.1,0.2,-0.05,0.05,-0.05,0.1,-0.6,0.1,-0.65,-0.35
90,9,0.32142857142857145,4,0.25,0.25,0.0,1.0,0.0,0.1,0.1,-0.05,0.1,0.0,-0.25,0.55,0.45,0.35,0.45,-0.1,0.05,-0.05,0.0,-0.25,-0.25,-0.5,-0.5,-0.2
91,10,0.2857142857142857,3,0.0,0.0,0.25,0.0,0.05,-0.05,0.25,0.0,0.05,0.15,0.15,-0.05,0.1,0.45,-0.55,0.15,-0.05,-0.05,-0.05,0.0,0.05,-0.75,-0.1,-0.75
92,11,0.25,7,0.0,0.25,0.25,0.0,0.05,0.1,0.15,-0.05,0.7,0.05,-0.1,0.1,0.0,0.25,0.05,0.1,0.0,-0.15,0.1,0.0,0.05,0.1,-0.9,-0.6
93,12,0.39285714285714285,7,0.0,0.0,0.5,1.0,0.45,0.25,-0.1,-0.1,0.3,-0.15,-0.15,-0.1,-0.2,0.4,0.15,-0.6,-0.05,0.05,-0.3,-0.15,0.0,0.05,-0.15,-0.6
94,13,0.42857142857142855,4,0.0,0.25,0.0,0.0,0.65,0.0,-0.1,0.05,-0.1,0.45,0.45,0.1,-0.45,-0.2,-0.1,0.25,-0.65,0.2,-0.4,-0.2,0.1,-0.35,-0.3,-0.8
95,14,0.8571428571428571,5,0.0,0.25,0.25,0.0,0.0,0.2,-0.05,0.0,0.0,0.35,0.0,-0.25,0.15,0.0,0.0,0.15,-0.25,0.25,0.15,-0.1,0.0,0.1,-0.15,-0.55
96,15,0.4642857142857143,4,0.0,0.25,0.25,0.0,0.3,-0.05,-0.05,0.7,0.7,0.35,-0.2,-0.15,-0.05,-0.05,0.15,0.25,0.1,0.3,-0.25,0.0,-0.65,-0.3,-0.65,-0.45
97,16,0.5,11,0.0,0.5,0.75,1.0,0.05,-0.05,0.05,0.1,0.55,0.25,0.05,0.25,-0.3,-0.15,0.2,-0.15,-0.05,-0.7,-0.25,0.05,0.05,-0.65,0.0,-0.3
98,17,0.5714285714285714,2,0.25,0.25,0.0,1.0,0.0,0.1,-0.05,0.05,0.05,0.15,0.0,0.0,0.55,0.0,0.0,0.35,0.0,0.2,-0.15,-0.1,-0.1,-0.05,-0.8,-0.2
99,18,0.6071428571428571,7,0.0,0.5,0.0,0.0,0.05,0.05,0.45,0.25,-0.05,0.0,0.35,0.1,0.2,0.45,-0.55,0.3,-0.25,-0.15,0.05,-0.05,0.0,-0.65,-0.6,-0.95
100,19,0.6428571428571429,2,0.0,0.0,0.25,0.0,0.0,0.05,0.05,-0.1,0.0,0.05,0.2,0.1,-0.05,-0.2,0.15,0.25,-0.05,0.1,0.25,-0.05,0.1,0.0,-0.5,-0.35
101,20,0.6785714285714286,3,0.0,0.5,0.25,0.0,0.0,0.0,0.2,0.05,0.6,-0.15,-0.15,0.4,0.25,0.25,-0.1,0.05,-0.05,-0.2,0.2,0.1,-0.85,-0.6,-0.55,-0.45
102,21,0.75,2,0.0,0.0,0.0,0.0,0.0,0.05,-0.05,0.0,0.05,0.05,0.05,0.3,0.2,-0.05,0.0,0.15,0.3,0.15,0.15,-0.2,-0.05,-0.65,0.05,-0.5
103,0,0.03571428571428571,4,0.0,0.0,0.25,0.0,0.0,0.0,0.1,0.0,0.1,0.1,-0.05,0.2,0.55,0.25,0.15,0.2,0.2,0.25,-0.25,-0.15,-0.3,-0.45,-0.8,-0.1
104,1,0.9285714285714286,1,0.0,0.25,0.0,0.0,0.0,0.65,-0.05,-0.05,0.1,-0.1,0.25,-0.1,0.0,0.15,0.25,-0.1,-0.1,0.2,-0.35,0.2,0.1,-0.2,-0.1,-0.75
105,2,0.0,6,1.0,0.75,0.25,0.0,0.0,0.05,0.05,0.1,-0.25,0.35,0.15,0.4,0.4,0.1,-0.55,-0.35,-0.2,-0.15,0.0,0.1,-0.15,-0.8,-0.55,-0.65
106,3,0.10714285714285714,8,0.0,0.25,0.0,0.0,0.1,0.0,-0.1,0.1,-0.05,-0.05,0.1,0.15,-0.1,-0.1,-0.05,0.0,0.15,0.15,-0.75,-0.1,-0.85,-0.25,-0.2,-0.1
107,4,0.6071428571428571,2,0.0,0.0,0.0,0.0,0.4,-0.05,-0.05,0.1,-0.1,0.35,0.0,-0.15,-0.05,-0.3,0.3,0.3,-0.15,-0.15,-0.15,-0.1,-0.05,-0.15,0.0,0.0
108,5,0.17857142857142858,14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.15,0.0,0.0,-0.2,0.05,0.05,0.2,0.0,0.3,-0.05,-0.3,0.2,0.05,-0.1,-0.1,-0.3
109,6,0.14285714285714285,0,0.0,0.0,0.0,0.0,0.0,0.1,0.45,0.35,-0.15,-0.05,0.05,-0.1,0.2,0.0,0.4,0.15,-0.2,0.0,-0.4,0.1,-0.7,-0.05,-0.15,0.0
110,7,0.21428571428571427,6,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.1,-0.1,0.35,0.2,-0.15,0.15,-0.3,0.25,-0.5,0.2,-0.2,-0.05,-0.75,-0.1
111,8,0.2857142857142857,2,0.0,0.25,0.25,1.0,0.0,0.0,0.6,0.0,0.1,-0.15,0.2,-0.15,-0.15,-0.05,-0.05,0.25,0.25,-0.1,-0.05,-0.15,-0.85,-0.9,-0.15,-0.6
112,9,0.32142857142857145,1,0.0,0.25,0.25,0.0,0.0,0.0,0.2,-0.05,0.05,0.45,0.1,0.0,-0.25,-0.25,0.15,0.4,-0.1,-0.1,0.1,0.0,0.05,-0.4,0.0,-0.35
113,10,0.39285714285714285,2,0.0,0.0,0.0,0.0,0.05,0.05,0.3,-0.15,-0.05,0.6,-0.05,0.15,-0.05,0.2,0.25,-0.25,0.0,-0.2,0.1,-0.55,0.1,0.1,-0.35,-0.25
114,11,0.42857142857142855,6,0.0,0.0,0.0,1.0,0.25,0.0,-0.1,-0.05,0.2,0.1,0.0,0.3,0.05,0.05,0.05,0.05,0.2,0.05,0.05,0.15,0.05,-0.9,-0.75,-0.75
115,12,0.8571428571428571,5,0.25,0.5,0.25,1.0,0.0,0.15,0.45,0.15,0.05,0.35,-0.25,-0.2,-0.05,0.3,0.0,0.1,0.3,0.2,0.1,-0.8,-0.7,-0.15,-0.5,-0.5
