Race ID,Overtakes,Country,Yellows,Reds,Safety,Virtual Safety,Rain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
21,60.0,Abu Dhabi,2,0,1,1,0,0.0,0.0,0.1,0.2,0.35,0.0,-0.2,0.15,0.0,-0.15,0.2,-0.1,0.0,0.25,-0.55,0.0,-0.15,-0.05,-0.05,0.0
1,88.0,Bahrain,2,0,1,1,0,0.0,0.05,0.1,0.25,0.1,0.0,0.2,0.4,-0.05,0.25,0.05,0.35,0.05,0.2,-0.1,0.2,0.0,-0.7,-0.85,-0.5
26,60.0,Saudi Arabia,7,0,1,2,0,0.15,0.0,0.0,-0.15,0.05,-0.05,0.2,0.05,0.05,0.25,0.05,0.25,0.0,0.1,-0.35,-0.45,-0.15,0.0,0.0,0.0
0,78.0,Australia,5,0,2,2,0,0.0,0.05,0.15,0.05,-0.05,0.05,0.05,0.2,0.1,0.5,0.15,0.35,0.1,0.1,-0.1,0.1,-0.35,-0.8,-0.1,-0.55
13,110.0,Italy,3,0,1,0,0,0.0,0.05,0.1,0.35,0.1,-0.2,0.25,0.25,-0.05,0.25,0.35,0.25,0.05,0.1,-0.75,0.15,-0.35,-0.6,-0.5,-0.8
17,95.0,United States,5,0,1,1,1,0.1,-0.05,-0.05,0.0,0.35,0.0,-0.1,0.6,0.45,-0.5,0.0,-0.15,0.05,0.25,0.0,0.0,-0.85,-0.55,-0.55,-0.15
4,80.0,Spain,4,0,0,0,0,0.05,0.15,0.05,-0.05,0.05,0.05,0.25,0.15,0.55,0.15,0.25,-0.15,0.05,-0.2,0.1,0.15,-0.45,0.0,-0.2,-0.95
5,52.0,Monaco,12,2,2,1,1,0.1,0.0,0.05,-0.15,0.05,-0.05,0.0,0.0,0.15,-0.05,0.3,-0.1,0.05,0.2,0.2,0.2,-0.3,-0.1,-0.2,-0.35
3,88.0,Azerbaijan,10,0,0,2,0,0.1,0.0,0.1,0.15,0.05,0.15,0.15,0.2,0.1,0.15,0.2,0.25,-0.25,0.3,0.15,0.15,-0.05,-0.2,-0.9,-0.8
6,86.0,Canada,4,0,1,2,0,0.0,0.05,0.05,0.2,0.7,0.05,0.2,0.1,-0.35,0.35,-0.1,0.2,-0.05,0.05,-0.05,0.1,-0.6,0.1,-0.65,-0.35
9,86.0,Great Britain,4,1,1,0,1,0.0,0.1,0.1,-0.05,0.1,0.0,-0.25,0.55,0.45,0.35,0.45,-0.1,0.05,-0.05,0.0,-0.25,-0.25,-0.5,-0.5,-0.2
8,76.0,Austria,3,0,0,1,0,0.05,-0.05,0.25,0.0,0.05,0.15,0.15,-0.05,0.1,0.45,-0.55,0.15,-0.05,-0.05,-0.05,0.0,0.05,-0.75,-0.1,-0.75
7,72.0,France,7,0,1,1,0,0.05,0.1,0.15,-0.05,0.7,0.05,-0.1,0.1,0.0,0.25,0.05,0.1,0.0,-0.15,0.1,0.0,0.05,0.1,-0.9,-0.6
11,86.0,Hungary,7,0,0,2,1,0.45,0.25,-0.1,-0.1,0.3,-0.15,-0.15,-0.1,-0.2,0.4,0.15,-0.6,-0.05,0.05,-0.3,-0.15,0.0,0.05,-0.15,-0.6
12,118.0,Belgium,4,0,1,0,0,0.65,0.0,-0.1,0.05,-0.1,0.45,0.45,0.1,-0.45,-0.2,-0.1,0.25,-0.65,0.2,-0.4,-0.2,0.1,-0.35,-0.3,-0.8
24,54.0,Netherlands,5,0,1,1,0,0.0,0.2,-0.05,0.0,0.0,0.35,0.0,-0.25,0.15,0.0,0.0,0.15,-0.25,0.25,0.15,-0.1,0.0,0.1,-0.15,-0.55
13,114.0,Italy,4,0,1,1,0,0.3,-0.05,-0.05,0.7,0.7,0.35,-0.2,-0.15,-0.05,-0.05,0.15,0.25,0.1,0.3,-0.25,0.0,-0.65,-0.3,-0.65,-0.45
14,84.0,Singapore,11,0,2,3,1,0.05,-0.05,0.05,0.1,0.55,0.25,0.05,0.25,-0.3,-0.15,0.2,-0.15,-0.05,-0.7,-0.25,0.05,0.05,-0.65,0.0,-0.3
16,58.0,Japan,2,1,1,0,1,0.0,0.1,-0.05,0.05,0.05,0.15,0.0,0.0,0.55,0.0,0.0,0.35,0.0,0.2,-0.15,-0.1,-0.1,-0.05,-0.8,-0.2
17,110.0,United States,7,0,2,0,0,0.05,0.05,0.45,0.25,-0.05,0.0,0.35,0.1,0.2,0.45,-0.55,0.3,-0.25,-0.15,0.05,-0.05,0.0,-0.65,-0.6,-0.95
18,52.0,Mexico,2,0,0,1,0,0.0,0.05,0.05,-0.1,0.0,0.05,0.2,0.1,-0.05,-0.2,0.15,0.25,-0.05,0.1,0.25,-0.05,0.1,0.0,-0.5,-0.35
19,104.0,Brazil,3,0,2,1,0,0.0,0.0,0.2,0.05,0.6,-0.15,-0.15,0.4,0.25,0.25,-0.1,0.05,-0.05,-0.2,0.2,0.1,-0.85,-0.6,-0.55,-0.45
21,60.0,Abu Dhabi,2,0,0,0,0,0.0,0.05,-0.05,0.0,0.05,0.05,0.05,0.3,0.2,-0.05,0.0,0.15,0.3,0.15,0.15,-0.2,-0.05,-0.65,0.05,-0.5
1,84.0,Bahrain,4,0,0,1,0,0.0,0.0,0.1,0.0,0.1,0.1,-0.05,0.2,0.55,0.25,0.15,0.2,0.2,0.25,-0.25,-0.15,-0.3,-0.45,-0.8,-0.1
26,76.0,Saudi Arabia,1,0,1,0,0,0.0,0.65,-0.05,-0.05,0.1,-0.1,0.25,-0.1,0.0,0.15,0.25,-0.1,-0.1,0.2,-0.35,0.2,0.1,-0.2,-0.1,-0.75
0,107.0,Australia,6,4,3,1,0,0.0,0.05,0.05,0.1,-0.25,0.35,0.15,0.4,0.4,0.1,-0.55,-0.35,-0.2,-0.15,0.0,0.1,-0.15,-0.8,-0.55,-0.65
